task_type,duration_min,rows_processed,null_rate_pct,schema_changed,upstream_failed,rows_delta_pct,hour_of_day,day_of_week,retry_count,queue_time_min,failed
quality_check,35.0,6829,2.27,0,0,5.2,9,0,0,3.5,0
load,30.7,13509,1.95,0,0,25.0,12,1,1,0.1,0
quality_check,30.8,6935,1.77,0,0,27.7,13,6,0,1.2,0
dbt_model,30.0,2975,1.54,0,0,-13.4,16,5,2,3.0,0
load,35.9,51587,2.49,0,1,-14.8,1,1,0,1.8,0
dbt_model,36.7,52857,2.77,0,0,-2.3,19,3,0,0.3,0
dbt_model,46.8,551980,0.61,0,0,11.1,4,4,0,7.2,0
load,30.9,12464,4.33,0,0,-25.2,5,1,1,5.4,0
dbt_model,25.7,58323,0.7,0,0,8.2,18,4,0,0.8,0
extract,31.8,59894,0.23,0,0,7.3,0,1,0,0.5,0
dbt_model,38.3,24193,3.02,0,0,-20.3,9,2,1,1.7,1
quality_check,18.2,119483,0.27,1,0,-19.6,15,6,2,8.0,0
dbt_model,18.4,125538,0.12,0,0,8.0,18,3,1,1.0,0
dbt_model,41.4,61319,3.26,0,0,37.3,21,6,0,2.7,0
extract,45.2,24124,0.06,0,0,-5.3,16,5,1,8.5,0
quality_check,19.9,20495,1.84,0,0,5.9,5,2,1,6.1,0
dbt_model,29.3,4070,5.62,0,0,-10.9,8,0,0,1.0,0
dbt_model,26.4,10001,1.4,0,0,4.3,0,1,1,3.5,0
dbt_model,28.2,13423,1.52,0,0,-11.3,18,2,0,1.9,0
dbt_model,31.9,6012,1.09,0,0,-4.7,0,5,0,0.7,0
quality_check,21.8,73414,0.59,0,0,44.1,3,5,1,1.8,0
load,25.6,246373,0.33,0,0,1.9,23,2,2,1.5,0
dbt_model,27.0,8493,5.16,0,0,-28.2,3,2,2,0.7,1
extract,31.7,57154,2.43,0,0,11.6,6,5,0,1.3,0
quality_check,19.2,6942,1.03,0,0,20.3,9,0,0,3.8,1
dbt_model,38.5,22295,0.13,0,0,12.2,3,2,1,1.9,0
quality_check,26.6,12033,0.05,0,0,-3.2,15,1,1,3.5,1
extract,30.1,95133,0.39,0,0,-16.5,7,4,1,1.0,0
dbt_model,32.9,12258,0.28,0,0,-16.1,7,4,1,0.3,0
quality_check,33.9,183259,4.7,0,0,-3.4,13,5,0,0.3,0
quality_check,39.1,24510,1.63,0,0,-6.6,7,6,1,3.6,0
dbt_model,22.0,12844,0.14,0,0,-10.0,5,1,1,1.5,0
quality_check,16.2,4888,2.93,0,0,21.9,20,1,0,2.4,0
load,30.2,54454,1.22,0,0,16.6,13,2,0,0.4,0
dbt_model,35.3,152108,0.62,0,0,22.8,21,3,1,4.9,0
load,21.8,56236,0.31,0,0,-14.2,8,5,0,8.7,0
dbt_model,26.0,1305544,2.15,0,0,-16.6,21,1,0,6.2,0
dbt_model,37.9,357775,1.29,0,0,1.4,21,3,0,2.9,0
quality_check,24.6,22202,0.23,0,0,7.5,0,6,0,0.2,1
dbt_model,18.3,21832,2.18,0,0,1.3,3,0,0,0.6,0
extract,42.2,76996,4.66,0,0,6.2,19,6,0,7.0,0
quality_check,24.2,9501,0.24,0,1,28.5,7,1,0,11.7,1
dbt_model,45.8,234699,0.73,0,0,-3.9,18,2,2,0.1,1
quality_check,33.5,64767,0.24,0,0,14.5,10,1,1,3.0,0
extract,35.6,54739,2.75,0,0,9.3,6,0,1,1.2,0
quality_check,32.2,109002,0.22,0,0,1.7,5,1,1,2.1,0
quality_check,13.1,571790,0.24,0,0,13.7,5,4,0,1.6,0
quality_check,22.5,47740,2.79,0,0,-13.8,15,2,0,0.2,0
dbt_model,30.8,30307,0.57,0,0,-17.4,0,4,0,3.0,0
dbt_model,39.7,405936,3.16,0,0,7.8,4,5,2,0.8,0
quality_check,18.8,170771,0.08,0,0,-29.5,19,4,1,3.2,0
dbt_model,30.9,21729,1.62,0,0,9.2,7,4,0,2.7,0
quality_check,22.2,36618,1.47,0,0,-20.3,14,2,2,2.5,0
dbt_model,34.9,49642,0.33,0,0,27.3,7,5,1,2.6,0
dbt_model,33.1,64789,0.08,0,0,-7.1,0,0,0,7.8,0
dbt_model,35.2,4144,0.01,0,0,26.2,10,5,0,2.6,0
dbt_model,37.6,3077,2.16,0,0,-3.8,5,0,1,6.0,0
extract,33.9,8779,3.07,0,0,-4.6,17,4,0,3.3,1
extract,37.3,7757,0.98,0,0,15.6,19,5,0,1.8,0
dbt_model,27.3,12963,0.52,0,0,5.3,21,6,0,6.0,1
extract,59.4,100261,0.08,0,1,-1.2,14,3,0,3.1,0
dbt_model,20.8,27714,0.81,0,0,-7.3,1,5,1,4.8,0
quality_check,28.0,49723,3.56,0,0,-7.1,20,1,0,1.7,0
dbt_model,36.9,5121,2.36,0,0,42.4,20,2,0,0.9,0
dbt_model,37.7,17350,0.95,1,1,-30.2,3,6,0,3.4,1
load,38.3,92930,0.12,0,0,-21.6,9,3,0,2.3,0
dbt_model,40.0,94082,1.11,0,0,21.2,22,6,0,1.5,0
extract,11.5,11392,0.12,0,0,19.8,19,3,0,2.6,0
quality_check,47.0,47035,2.57,0,0,-16.6,4,5,0,0.1,0
dbt_model,36.5,1224638,2.13,0,0,-31.5,15,1,1,0.2,1
dbt_model,43.4,35307,2.09,0,0,22.9,7,4,0,1.6,0
dbt_model,12.0,11978,0.01,0,0,-18.8,20,1,2,1.3,0
dbt_model,34.1,27501,0.26,0,0,-8.8,22,4,0,0.7,0
extract,27.4,42086,2.13,0,0,1.7,18,2,1,0.3,0
dbt_model,37.0,28513,0.91,0,1,-19.3,7,3,1,1.7,0
quality_check,35.0,34538,1.17,0,0,16.6,9,6,0,2.0,0
dbt_model,31.5,3606,0.48,0,0,0.4,14,1,0,0.8,0
dbt_model,20.0,7783,1.75,0,0,-15.9,22,5,2,1.1,0
extract,31.3,28597,0.99,0,0,-14.3,8,5,1,3.7,0
dbt_model,30.2,27877,1.3,0,0,23.3,13,2,1,3.2,1
dbt_model,35.1,14677,0.64,0,0,-5.0,17,3,0,2.6,0
load,40.7,27358,0.37,0,0,11.1,8,6,0,5.8,0
dbt_model,33.8,40039,0.02,0,0,-0.2,7,3,0,5.2,0
dbt_model,23.2,150702,0.08,0,0,-31.6,9,0,1,0.4,0
dbt_model,32.9,30985,0.2,1,0,13.4,10,4,0,0.4,1
load,56.8,68772,0.05,0,0,19.3,2,0,1,0.4,0
load,45.5,15266,1.83,0,0,33.2,2,2,0,23.1,0
extract,7.1,90703,1.54,1,0,-34.2,16,5,0,1.7,0
dbt_model,33.9,66248,0.4,1,0,-56.9,22,4,0,10.9,0
quality_check,43.0,145118,1.03,0,0,11.5,19,4,0,2.6,0
extract,32.6,113724,0.93,0,0,-10.8,21,1,0,2.5,0
load,29.7,93150,2.6,0,0,-25.7,20,0,2,2.6,0
dbt_model,29.6,31024,0.14,0,0,1.9,19,6,1,3.2,0
load,37.9,53739,3.7,0,1,-8.1,1,1,1,0.6,0
dbt_model,24.9,199110,0.02,0,0,-23.0,20,6,1,2.9,0
dbt_model,41.1,12793,1.57,1,0,-1.5,10,2,1,2.5,0
dbt_model,30.0,13287,0.12,0,0,10.2,14,4,1,0.8,0
extract,24.3,48547,1.8,0,0,3.1,21,4,0,0.3,0
dbt_model,43.5,70576,0.27,0,0,3.3,2,2,0,5.2,0
dbt_model,16.0,9715,0.46,0,1,8.0,6,5,0,9.8,1
quality_check,27.0,32221,2.84,0,0,-30.4,1,2,0,0.7,0
load,26.8,31244,1.6,0,0,-0.9,10,3,0,3.1,0
dbt_model,45.4,1048,1.2,0,0,4.3,18,6,1,1.9,1
dbt_model,25.5,25556,1.42,0,0,-6.8,11,2,1,1.0,0
dbt_model,12.4,28234,0.77,0,0,-14.9,12,2,0,3.1,0
dbt_model,26.6,28100,0.3,1,0,-13.4,5,0,1,4.3,0
quality_check,40.3,349921,3.29,0,0,-5.3,6,5,1,1.2,0
dbt_model,35.9,5191,2.77,0,0,16.5,13,0,2,3.5,0
dbt_model,50.4,9707,2.18,0,0,27.5,0,2,2,2.5,0
dbt_model,37.6,555,0.74,0,0,23.8,10,1,0,0.2,0
extract,32.6,16823,1.37,0,0,-28.1,23,6,0,6.6,0
extract,23.1,19282,0.15,0,0,-16.9,13,3,0,5.7,0
extract,45.4,16059,0.51,1,0,11.8,2,3,0,1.0,0
quality_check,32.0,213690,0.37,0,1,23.4,10,3,1,3.8,1
quality_check,28.7,143916,1.18,0,0,-17.4,8,4,0,3.2,0
quality_check,28.7,41133,0.07,0,0,3.3,16,1,0,1.1,0
dbt_model,19.9,20070,0.58,1,0,-20.4,16,0,0,0.0,1
quality_check,30.9,187569,0.43,0,0,5.0,23,1,0,4.1,0
extract,30.1,35185,0.29,0,0,-11.6,14,6,0,0.3,0
load,36.5,9806,1.26,0,0,3.3,5,0,0,3.7,0
dbt_model,24.0,2330,0.42,0,0,-21.8,3,3,2,2.8,0
load,19.6,17924,2.13,0,0,-29.4,3,5,0,17.0,0
extract,19.9,121470,0.19,0,0,55.8,14,4,0,0.9,0
dbt_model,40.5,1386734,0.06,0,0,1.2,14,5,0,2.1,0
quality_check,33.1,40077,0.4,0,0,38.4,8,0,0,0.1,0
dbt_model,25.1,10672,0.13,0,0,27.2,17,2,1,1.5,0
dbt_model,24.7,5453,0.23,0,0,-29.4,4,4,0,4.4,0
extract,37.3,87827,3.13,0,0,6.5,17,0,1,0.3,0
dbt_model,39.9,2157,0.17,0,0,-23.3,14,2,0,5.5,0
dbt_model,26.7,87601,0.11,0,1,-5.3,4,5,2,0.2,0
dbt_model,35.3,134368,0.57,0,0,-33.9,21,2,1,0.4,0
quality_check,42.1,72987,0.26,1,0,-28.3,20,5,2,0.6,0
dbt_model,24.6,25553,2.98,0,0,-15.4,18,3,0,3.7,0
dbt_model,33.7,89671,2.82,0,0,-9.8,15,0,1,1.5,0
dbt_model,32.4,47738,2.83,0,0,0.7,3,3,0,0.7,0
load,18.3,10456,2.05,0,0,-18.7,23,2,0,2.9,0
extract,38.9,701278,0.45,0,0,2.7,4,5,1,2.2,1
dbt_model,31.5,20688,0.5,0,0,20.4,19,5,0,2.3,0
extract,39.4,125643,1.2,0,0,4.9,11,2,1,4.5,0
dbt_model,14.8,757,0.21,0,0,-1.2,16,6,0,1.7,0
load,35.9,279946,0.45,0,0,6.1,0,6,0,5.7,0
dbt_model,48.8,380797,0.26,0,0,-25.8,7,3,1,1.1,0
load,51.0,38091,1.04,0,0,17.1,0,0,0,1.1,0
dbt_model,45.3,88790,1.54,0,0,-21.6,17,4,0,5.6,0
quality_check,23.2,88754,0.42,0,0,27.9,6,3,1,6.9,0
dbt_model,34.5,12984,0.05,0,0,13.9,7,4,0,0.4,0
dbt_model,29.4,87150,0.53,0,1,10.0,2,4,0,0.4,0
quality_check,32.5,9958,0.57,0,0,10.8,3,5,0,0.1,0
load,23.6,13711,6.44,0,0,-0.0,13,6,0,0.8,0
dbt_model,20.0,220380,0.59,0,0,-14.2,8,2,1,3.0,0
quality_check,31.8,172724,0.2,0,1,-17.0,1,2,0,3.2,1
dbt_model,36.8,11728,0.34,0,0,31.5,20,1,2,0.5,1
quality_check,32.8,11229,1.44,0,0,1.9,5,4,0,0.3,0
quality_check,34.1,12926,1.18,0,0,-20.1,1,4,0,2.8,0
dbt_model,36.2,117268,1.95,0,0,9.3,1,5,0,1.2,0
quality_check,33.1,7332,0.56,0,0,6.2,9,1,1,1.0,1
dbt_model,38.0,64263,2.03,0,0,-5.9,12,5,2,0.7,0
extract,31.8,119964,0.76,0,0,-16.2,3,4,0,2.1,0
extract,32.7,31533,2.41,0,0,13.2,8,6,1,0.8,0
dbt_model,50.7,182791,3.04,0,0,17.0,8,0,1,3.1,0
load,32.7,22316,5.32,0,0,5.8,1,2,2,13.3,0
extract,32.0,25792,0.33,0,0,1.3,15,6,1,9.0,0
dbt_model,30.4,7603,0.1,0,0,-14.1,8,5,2,5.4,0
quality_check,33.1,184883,0.18,0,0,8.6,16,4,0,0.2,0
dbt_model,26.2,10652,6.22,0,0,-11.4,0,6,0,0.9,0
quality_check,35.1,63553,0.47,0,0,-22.9,0,4,0,2.3,0
dbt_model,27.5,32399,0.13,0,0,20.3,19,3,0,2.7,0
quality_check,28.0,6738,0.48,0,0,-18.5,7,1,0,5.7,0
dbt_model,23.4,13703,0.67,0,0,-34.1,8,4,1,6.1,0
dbt_model,37.1,331902,7.57,0,0,23.6,10,3,0,2.7,0
dbt_model,38.1,50143,0.76,0,0,-31.4,15,2,2,4.6,0
dbt_model,27.5,7225,0.7,0,0,-7.0,17,1,0,0.7,0
load,15.0,59191,1.06,0,0,-19.7,17,1,1,2.0,0
extract,37.1,28744,0.27,0,0,-13.0,20,3,0,6.2,0
quality_check,42.9,9124505,0.49,0,0,40.0,13,1,0,0.9,0
dbt_model,24.1,57308,3.38,0,0,-1.8,6,4,1,1.5,0
quality_check,38.1,19751,1.38,0,0,6.5,14,0,0,0.3,0
dbt_model,23.6,352231,0.53,0,0,14.2,6,2,2,1.3,0
dbt_model,36.5,1909,1.67,0,0,-11.6,10,4,2,4.5,0
dbt_model,32.0,42231,0.13,0,0,19.4,0,5,0,4.9,0
dbt_model,17.4,883004,2.02,0,0,6.8,9,6,0,0.8,0
extract,33.5,30154,1.14,0,0,13.6,14,0,2,1.8,1
dbt_model,23.8,2268,3.14,0,0,-13.0,7,2,2,11.0,0
extract,26.1,19274,0.04,0,0,8.0,2,4,0,0.6,0
dbt_model,29.6,372215,0.73,0,0,-0.2,1,0,0,1.0,0
dbt_model,32.1,66284,0.74,0,0,20.3,2,3,0,1.4,0
extract,25.5,9488,5.06,0,0,-9.7,8,1,2,1.9,1
quality_check,13.6,12132,3.05,0,0,36.6,23,3,0,2.2,0
dbt_model,42.1,14831,1.47,0,0,6.1,11,5,0,2.4,0
quality_check,31.0,64725,0.75,0,0,-2.3,21,1,1,1.5,1
extract,29.4,309005,0.7,0,0,-4.4,3,3,2,0.6,0
dbt_model,25.0,195609,1.22,0,0,-0.1,23,5,0,3.2,0
dbt_model,40.4,75328,0.39,0,0,-11.3,21,5,0,5.6,1
dbt_model,16.9,4312,0.92,0,0,12.0,2,2,0,5.0,0
dbt_model,29.8,4338,1.55,0,0,-0.2,0,1,1,3.0,0
dbt_model,28.5,85238,0.99,0,0,35.0,15,2,0,5.4,0
extract,23.8,4218,0.97,0,0,-7.8,5,4,0,0.4,0
quality_check,21.7,25313,0.56,0,0,-2.2,15,4,1,3.1,0
extract,27.5,59079,0.39,0,0,-7.8,16,5,0,2.9,0
dbt_model,29.2,5883,0.41,0,0,33.6,1,2,0,2.8,0
dbt_model,31.5,7052,1.51,0,0,-26.0,19,5,0,1.1,0
quality_check,24.9,31238,1.21,0,0,1.7,20,5,2,3.2,0
dbt_model,32.8,81295,0.33,0,0,5.6,11,4,1,4.8,0
dbt_model,43.2,198477,1.31,0,0,-20.3,22,5,1,1.4,0
load,19.0,95921,1.04,0,0,47.6,14,6,0,3.4,0
load,32.4,40857,0.02,0,0,-16.8,17,5,0,1.2,0
dbt_model,21.6,11004,0.46,0,0,0.6,6,0,1,2.0,0
dbt_model,19.8,6545,0.69,0,0,30.3,15,5,0,1.2,0
dbt_model,33.2,16036,0.53,0,0,-6.8,22,3,0,7.7,0
dbt_model,28.5,69975,3.81,0,0,2.6,18,2,0,6.7,0
dbt_model,22.2,62230,0.5,0,0,-6.2,15,3,1,0.2,0
dbt_model,38.3,1261,1.06,0,0,-1.0,9,1,1,3.9,0
extract,38.3,10331,1.47,0,0,19.5,3,6,0,1.8,0
extract,18.2,249499,2.53,0,0,-7.6,8,0,1,3.5,0
load,19.2,41222,0.76,0,0,-47.8,17,3,2,2.5,0
dbt_model,33.6,3762,0.06,0,0,-0.6,12,6,2,7.6,0
dbt_model,36.2,1574288,0.75,0,0,1.1,3,4,0,5.7,0
dbt_model,45.7,34672,2.15,0,0,3.5,5,6,1,10.2,0
quality_check,38.9,67166,0.07,0,0,-3.3,9,6,2,2.5,0
extract,36.0,68819,1.71,0,0,-15.5,1,0,0,3.7,0
extract,22.0,20167,0.82,0,0,-4.4,11,0,0,0.8,0
dbt_model,34.6,11337,1.04,0,0,31.8,21,0,1,1.4,0
dbt_model,26.7,1082387,0.12,0,0,-0.8,17,2,0,12.8,0
quality_check,46.8,180796,0.41,0,0,11.8,22,2,0,4.4,0
dbt_model,38.3,135279,0.26,0,0,-18.6,23,2,1,0.6,0
dbt_model,26.4,91314,0.28,0,0,-5.2,1,1,0,5.2,0
load,36.7,7293,2.33,0,0,-18.0,8,0,0,2.7,0
extract,56.0,280421,0.54,0,0,23.3,4,3,1,3.5,0
dbt_model,27.9,9423,1.84,0,0,-28.0,16,3,1,2.8,0
dbt_model,38.0,57139,3.62,0,0,6.7,0,2,1,1.9,0
dbt_model,23.8,2635,0.44,0,0,6.1,16,2,0,1.0,0
quality_check,27.3,1386,0.79,0,0,5.0,9,3,0,2.9,0
dbt_model,19.6,60431,3.16,0,0,-42.2,4,1,1,0.7,0
load,30.0,9951,2.45,0,0,-36.4,5,1,0,0.5,0
dbt_model,27.1,1506,0.66,0,0,2.1,15,0,0,7.8,0
dbt_model,49.9,86247,0.91,0,0,-16.6,11,2,0,1.6,0
dbt_model,22.0,1079630,2.47,1,0,-11.6,21,0,0,9.1,1
load,33.6,335472,1.41,0,0,-7.6,23,2,1,0.4,1
dbt_model,43.1,24059,0.11,0,0,-19.0,13,2,2,5.0,0
dbt_model,30.1,36833,4.75,0,0,-22.1,16,1,1,2.1,1
extract,33.2,150291,0.61,0,0,-0.0,11,4,0,1.0,0
dbt_model,27.9,218688,0.3,0,0,-34.3,9,1,0,0.8,0
quality_check,22.9,20959,2.14,0,0,-9.1,15,1,1,3.2,0
extract,15.9,38356,1.31,0,0,-12.0,0,6,0,1.3,0
load,27.4,58746,1.4,0,0,-0.4,19,6,2,1.1,0
dbt_model,24.9,88097,1.27,0,0,43.0,16,0,0,2.4,0
extract,32.9,29350,0.17,0,0,-17.7,5,1,0,0.2,0
dbt_model,24.8,29967,0.29,0,0,7.3,0,4,2,3.7,0
dbt_model,31.8,330291,2.74,0,0,4.0,3,1,0,2.0,0
dbt_model,31.5,251508,4.16,0,0,10.1,16,1,1,3.2,0
extract,33.1,77952,0.12,0,0,-3.8,15,2,0,0.1,0
dbt_model,32.3,568396,1.44,0,0,25.9,15,6,2,2.2,0
quality_check,21.6,19568,1.05,0,0,12.3,0,1,2,0.0,0
extract,37.5,487359,0.11,0,0,12.6,0,4,0,6.9,0
dbt_model,43.4,86510,1.44,0,0,-25.5,19,6,2,0.5,0
dbt_model,42.5,6808223,1.0,0,0,1.7,10,5,1,3.5,0
dbt_model,23.4,5388,0.53,0,0,-9.2,7,5,2,1.1,0
quality_check,29.2,12052,1.89,0,0,-15.5,1,2,0,1.2,0
quality_check,14.9,70974,3.4,0,0,-11.3,2,2,0,0.1,0
load,32.1,68567,2.52,0,0,-1.0,17,4,0,0.6,0
quality_check,34.1,822597,4.96,0,0,8.2,18,6,0,16.4,0
dbt_model,22.0,12464,0.34,0,0,17.7,6,2,1,0.2,0
extract,28.0,154487,1.25,0,0,16.8,5,4,2,0.2,0
dbt_model,31.8,233267,0.8,0,0,5.3,7,6,2,1.5,0
load,43.1,112132,0.91,0,0,1.0,9,5,2,5.9,0
load,39.4,7804,0.08,0,0,-5.8,20,6,0,2.5,0
dbt_model,27.8,345384,0.65,0,0,-4.5,9,2,0,2.5,0
dbt_model,31.0,259605,0.81,0,0,-14.0,18,4,0,3.1,0
extract,29.5,94782,0.74,0,0,-7.7,19,1,0,0.1,0
extract,40.1,50360,0.65,0,0,6.4,14,0,1,6.3,0
dbt_model,34.2,52144,0.56,0,0,27.7,6,3,0,4.0,0
dbt_model,32.9,32017,0.49,0,0,-2.7,23,5,0,2.1,1
dbt_model,38.8,101240,0.46,1,0,-14.5,15,2,1,6.0,0
dbt_model,27.0,38170,2.83,0,0,17.4,16,1,0,6.0,0
quality_check,42.2,9342,1.99,0,0,-36.0,23,6,0,2.6,0
dbt_model,29.3,6783,0.99,0,0,18.8,14,2,0,2.8,0
quality_check,22.4,10902,0.69,0,0,-25.8,14,1,0,11.3,0
load,30.8,51813,1.32,0,0,11.8,19,1,0,3.7,0
dbt_model,43.3,34782,1.77,0,0,-8.6,3,0,1,2.0,0
dbt_model,29.0,51254,0.1,0,0,5.8,23,6,1,3.4,0
load,42.2,80926,0.37,0,0,37.5,6,4,0,0.9,0
dbt_model,24.9,13310,2.11,0,0,-15.1,23,0,2,2.7,0
dbt_model,29.4,378910,1.1,0,0,-18.0,12,3,0,0.8,0
dbt_model,37.4,23662,0.52,0,0,1.4,21,2,2,1.7,0
dbt_model,23.2,18151,2.51,0,0,27.5,7,3,1,5.0,0
load,41.0,78575,0.45,0,0,3.2,18,6,0,4.5,0
dbt_model,30.3,1922,0.01,0,0,0.8,12,2,2,0.3,0
load,22.2,10251,0.34,0,0,3.0,15,2,0,7.1,0
load,34.3,174506,2.66,0,0,-18.1,13,2,1,9.6,0
dbt_model,22.5,2253,0.44,0,0,3.2,23,4,1,0.8,0
extract,38.5,217101,0.88,0,0,-7.1,17,0,2,0.5,0
dbt_model,53.4,407509,0.49,0,0,23.8,6,4,0,1.6,0
extract,27.9,20107,1.43,0,0,14.4,14,5,2,1.2,0
dbt_model,37.9,57924,1.12,0,0,-23.8,8,6,0,4.5,0
dbt_model,35.6,217627,0.19,0,1,-5.1,16,3,0,0.6,1
load,31.2,17208,0.13,0,0,9.5,11,3,0,1.4,0
load,33.2,145574,1.06,0,1,-17.7,5,6,0,3.1,1
extract,22.7,12408,0.07,0,0,-19.4,5,5,1,6.0,0
load,33.9,16912,2.74,0,0,-8.3,10,3,0,1.0,0
extract,27.4,10107,1.19,0,0,6.2,11,2,0,1.1,0
quality_check,25.0,62832,6.41,0,0,18.7,19,6,0,7.3,0
load,44.6,231596,2.6,0,0,4.2,15,2,0,5.2,1
load,32.6,27049,1.35,0,0,44.3,18,6,1,1.8,0
dbt_model,26.7,4750,1.08,0,0,-12.2,3,3,1,1.7,0
load,41.3,6423,3.72,0,0,13.3,4,3,1,2.8,0
extract,16.8,68279,0.95,1,0,-20.0,0,3,0,3.3,1
dbt_model,48.8,694249,1.98,0,0,29.0,1,5,0,0.4,0
dbt_model,25.4,68183,0.7,0,0,24.5,3,5,0,0.2,0
dbt_model,33.1,19554,1.16,0,0,12.8,15,0,0,7.8,0
extract,29.1,123734,1.75,0,0,-31.3,10,5,0,9.3,0
quality_check,23.3,24755,1.69,1,0,12.6,10,0,0,1.9,0
dbt_model,43.0,19825,1.63,0,0,-14.7,17,5,1,3.2,0
dbt_model,46.3,7835,0.63,0,0,8.2,9,4,0,3.3,0
dbt_model,34.2,345766,1.07,0,0,-26.2,0,4,0,3.2,0
dbt_model,28.2,624,1.03,0,0,4.9,0,0,0,1.9,0
load,35.0,130167,0.33,0,0,-6.4,4,5,0,0.8,0
extract,46.5,17292,3.86,0,0,-14.0,9,4,0,5.8,1
quality_check,12.1,18834,0.14,0,0,10.7,21,4,2,0.4,0
quality_check,40.3,544544,0.95,1,0,-0.9,4,1,2,2.2,1
dbt_model,23.7,11584,2.08,0,0,-3.7,17,5,0,4.3,0
dbt_model,9.1,12232,0.07,0,0,13.3,0,1,0,0.6,0
extract,28.6,29477,0.21,0,0,34.3,2,3,2,1.7,0
